starttime	seconds	ctime	dtime	ttime	wait
Thu Jan 06 20:52:21 2022	1641498741	3	4	7	1
Thu Jan 06 20:52:21 2022	1641498741	4	2	7	1
Thu Jan 06 20:52:21 2022	1641498741	4	2	7	1
Thu Jan 06 20:52:21 2022	1641498741	3	4	7	1
Thu Jan 06 20:52:21 2022	1641498741	4	2	7	1
Thu Jan 06 20:52:21 2022	1641498741	3	4	7	1
Thu Jan 06 20:52:21 2022	1641498741	1	6	7	3
Thu Jan 06 20:52:21 2022	1641498741	4	2	7	1
Thu Jan 06 20:52:21 2022	1641498741	3	4	7	1
Thu Jan 06 20:52:21 2022	1641498741	3	4	7	3
Thu Jan 06 20:52:21 2022	1641498741	3	4	7	3
Thu Jan 06 20:52:21 2022	1641498741	5	2	7	1
Thu Jan 06 20:52:21 2022	1641498741	4	3	7	1
Thu Jan 06 20:52:21 2022	1641498741	4	3	7	1
Thu Jan 06 20:52:21 2022	1641498741	4	3	7	1
Thu Jan 06 20:52:21 2022	1641498741	3	4	7	3
Thu Jan 06 20:52:21 2022	1641498741	5	2	7	1
Thu Jan 06 20:52:21 2022	1641498741	3	4	7	1
Thu Jan 06 20:52:21 2022	1641498741	2	4	7	4
Thu Jan 06 20:52:21 2022	1641498741	4	3	7	1
Thu Jan 06 20:52:21 2022	1641498741	3	4	7	1
Thu Jan 06 20:52:21 2022	1641498741	2	4	7	1
Thu Jan 06 20:52:21 2022	1641498741	3	4	7	1
Thu Jan 06 20:52:21 2022	1641498741	4	3	7	1
Thu Jan 06 20:52:21 2022	1641498741	4	3	7	1
Thu Jan 06 20:52:21 2022	1641498741	3	3	7	1
Thu Jan 06 20:52:21 2022	1641498741	4	3	7	1
Thu Jan 06 20:52:21 2022	1641498741	3	3	7	1
Thu Jan 06 20:52:21 2022	1641498741	4	3	7	1
Thu Jan 06 20:52:21 2022	1641498741	3	4	7	1
Thu Jan 06 20:52:21 2022	1641498741	3	4	7	1
Thu Jan 06 20:52:21 2022	1641498741	2	5	7	1
Thu Jan 06 20:52:21 2022	1641498741	3	4	7	1
Thu Jan 06 20:52:21 2022	1641498741	3	4	7	1
Thu Jan 06 20:52:21 2022	1641498741	4	2	7	1
Thu Jan 06 20:52:21 2022	1641498741	3	4	7	3
Thu Jan 06 20:52:21 2022	1641498741	3	4	7	4
Thu Jan 06 20:52:21 2022	1641498741	1	5	7	4
Thu Jan 06 20:52:21 2022	1641498741	3	4	7	1
Thu Jan 06 20:52:21 2022	1641498741	2	4	7	1
Thu Jan 06 20:52:21 2022	1641498741	3	4	7	1
Thu Jan 06 20:52:21 2022	1641498741	4	3	7	3
Thu Jan 06 20:52:21 2022	1641498741	1	6	7	2
Thu Jan 06 20:52:21 2022	1641498741	2	4	7	1
Thu Jan 06 20:52:21 2022	1641498741	2	4	7	1
Thu Jan 06 20:52:21 2022	1641498741	2	4	7	1
Thu Jan 06 20:52:21 2022	1641498741	3	4	7	3
Thu Jan 06 20:52:21 2022	1641498741	0	6	7	4
Thu Jan 06 20:52:21 2022	1641498741	3	4	7	1
Thu Jan 06 20:52:21 2022	1641498741	3	4	7	4
Thu Jan 06 20:52:21 2022	1641498741	3	4	7	1
Thu Jan 06 20:52:21 2022	1641498741	3	4	7	1
Thu Jan 06 20:52:21 2022	1641498741	3	4	7	1
Thu Jan 06 20:52:21 2022	1641498741	2	5	7	4
Thu Jan 06 20:52:21 2022	1641498741	2	5	7	5
Thu Jan 06 20:52:21 2022	1641498741	2	5	7	1
Thu Jan 06 20:52:21 2022	1641498741	0	7	7	3
Thu Jan 06 20:52:21 2022	1641498741	4	3	7	1
Thu Jan 06 20:52:21 2022	1641498741	3	4	7	4
Thu Jan 06 20:52:21 2022	1641498741	2	5	7	5
Thu Jan 06 20:52:21 2022	1641498741	5	2	7	1
Thu Jan 06 20:52:21 2022	1641498741	4	3	7	1
Thu Jan 06 20:52:21 2022	1641498741	3	4	7	1
Thu Jan 06 20:52:21 2022	1641498741	2	5	7	5
Thu Jan 06 20:52:21 2022	1641498741	3	4	7	1
Thu Jan 06 20:52:21 2022	1641498741	3	4	7	2
Thu Jan 06 20:52:21 2022	1641498741	3	4	7	1
Thu Jan 06 20:52:21 2022	1641498741	3	4	7	2
Thu Jan 06 20:52:21 2022	1641498741	2	5	7	5
Thu Jan 06 20:52:21 2022	1641498741	5	2	7	1
Thu Jan 06 20:52:21 2022	1641498741	2	5	7	0
Thu Jan 06 20:52:21 2022	1641498741	4	3	7	1
Thu Jan 06 20:52:21 2022	1641498741	3	4	7	1
Thu Jan 06 20:52:21 2022	1641498741	5	2	7	1
Thu Jan 06 20:52:21 2022	1641498741	5	2	7	2
Thu Jan 06 20:52:21 2022	1641498741	2	5	7	1
Thu Jan 06 20:52:21 2022	1641498741	2	5	7	1
Thu Jan 06 20:52:21 2022	1641498741	3	4	7	2
Thu Jan 06 20:52:21 2022	1641498741	3	4	7	3
Thu Jan 06 20:52:21 2022	1641498741	2	5	7	1
Thu Jan 06 20:52:21 2022	1641498741	3	4	7	2
Thu Jan 06 20:52:21 2022	1641498741	4	3	7	1
Thu Jan 06 20:52:21 2022	1641498741	2	5	7	1
Thu Jan 06 20:52:21 2022	1641498741	3	4	7	1
